[-12.740451441021461,-11.240713380467023],[-12.389978963398441,-10.476162644008978],[-12.06558970439596,-9.787378172874119],[-11.703229962913179,-9.038894252605523],[-11.38146383254215,-8.394235512361181],[-10.907131047594026,-7.47891171067515],[-10.268618257694886,-6.316603042831055],[-5.73820044501496,-0.013290386396476131],[-5.738192913476328,-0.01328575554371701],[-12.937763148503205,-0.027839892850552456],[-12.937747965585958,-0.027830454595129787],[-12.937756704803375,-0.0278358870838938],[-12.937757928127903,-0.027836647590531585],[-12.937769266875195,-0.02784369652636648],[-12.93776034082173,-0.0278381475704596],[-5.738197254359683,-0.013288424581205403],[-5.738093244252893,-0.013224476001311547],[-4.325782878577213,5.717273501322559],[-10.352182068097434,8.183920526051795],[-11.270239337118664,8.491931053460387],[-11.588788211764829,8.597031100196588],[-11.655919691176635,8.618785550391989],[-11.707245013086993,8.636236814742517],[-11.624501627909552,8.608896678677368],[-11.351310170870322,8.519189462618991]
[-12.25508548165283,-10.1880554577032],[-12.0411276240086,-9.736476824451959],[-11.71423711258535,-9.06089520386619],[-11.505915470327958,-8.64172139433805],[-11.210355371923061,-8.059414127216348],[-11.051145082043742,-7.753903494973162],[-10.392199458407063,-6.5349880717549045],[-5.738194773695541,-0.013286899315890935],[-5.738187987829946,-0.013282726971374831],[-5.73818322791792,-0.013279800314050173],[-5.738190787441216,-0.013284448332461177],[-12.937750144379486,-0.027831809200432774],[-12.93774775165374,-0.02783032090500218],[-12.937764792889734,-0.027840915641841064],[-5.7381879885043805,-0.013282727387188524],[-5.738193822397888,-0.013286314401747252],[-0.04125552283148933,2.8792352211584684],[-4.326141062679726,5.717440645711688],[-4.325465709931528,5.717086087638952],[-10.787053437300585,8.330316459623367],[-11.276661750949376,8.494326348503249],[-11.380466392811938,8.528481826667418],[-11.40306826935932,8.53614461794456],[-11.125567191188381,8.4440339914476],[-10.220095548427054,8.136013805138447]
[-11.366313586184008,-8.364688057335595],[-11.419854128297192,-8.470485382003806],[-11.337008708129911,-8.306849269092224],[-11.171591892121013,-7.98500454815317],[-10.981863098342453,-7.620524683938766],[-10.867854784172321,-7.404343483787796],[-10.065569897770075,-5.960143308070833],[-5.738182405867829,-0.013279294874499801],[-5.738173253440096,-0.013273667508016932],[-5.738180006889248,-0.013277819859117149],[-5.738181411246163,-0.013278683332688421],[-5.73818273780168,-0.01327949896742366],[-5.738187522817153,-0.01328244105603663],[-5.738183314200621,-0.013279853367537973],[-5.7381830005087275,-0.013279660491212264],[-5.738095944805199,-0.013226136303729269],[-4.315589588955466,5.7122156879306925],[-4.325398416627204,5.717079747658243],[-4.325471816221945,5.7170864821919345],[-9.584787306268314,7.91381570605229],[-10.611866215347705,8.270199971288106],[-11.137524125666266,8.447936007079894],[-10.441820483036803,8.212332595041639],[-9.504450971464497,7.885273177770008],[-6.272665768513013,6.61772976764375]
[-5.394168847421317,-9.361148688158687],[-4.127392598458811,-5.184707481581989],[-5.81988147779734,-0.06565414116171595],[-10.23315341099529,-6.25146245486461],[-10.186004979761758,-6.169081394048821],[-8.491566476815976,-3.5001761077028104],[-5.738205613760102,-0.013293564477485215],[-5.738185724906398,-0.013281335601540847],[-5.738179563228439,-0.013277547072912108],[-5.738187010407656,-0.013282125999080137],[-5.7381840518283695,-0.013280306900207341],[-5.7381783356208045,-0.013276792277049554],[-5.738181162407124,-0.01327853033166265],[-5.738184366261953,-0.013280500233706102],[-5.738095273025877,-0.01322572329371512],[-5.738095518413435,-0.013225874154507418],[-4.315653753176097,5.71222139576915],[-4.32470895563532,5.7167157452396555],[-4.325029267521856,5.7168903675162905],[-4.325611636754547,5.717158693427554],[-4.325319240980259,5.71701477991539],[-4.326338008936109,5.717551835799913],[-4.324973622453309,5.71684275510383],[-4.325047082808073,5.716899429542639],[-4.325650109670264,5.717206800508651]
[-5.919339305411755,-11.423295855026648],[-5.563149763013809,-10.003708160282157],[-5.161161186964586,-8.509245736502086],[-4.556421177101898,-6.471301731506268],[-5.73818750423286,-0.013282429625260637],[-5.7381819469779005,-0.013279012726933118],[-5.7381736623666395,-0.013273918933695138],[-5.738180239188424,-0.01327796268775429],[-5.738183175998426,-0.01327976839592144],[-5.738176281096505,-0.013275529055004787],[-5.738177180821344,-0.013276082250702823],[-5.738172264454095,-0.013273059430998192],[-5.738173761100391,-0.013273979638003634],[-5.738176473661555,-0.013275647455133476],[-5.738098073720033,-0.013227445164955273],[-1.4061585674266404,-0.0031517778749849353],[-4.315779809250172,5.712321460980161],[-4.326366771077971,5.717520497866558],[-4.325618715245729,5.717183161113549],[-4.323445224778635,5.716085623203156],[-4.324636528156386,5.71669253366504],[-4.3261159468579296,5.717395701528061],[-4.325961162582483,5.717359789135385],[-4.325587568172234,5.717176466406972],[-0.0412513128579304,2.8792410906080415]
[-6.0581013239284935,-12.000016409979528],[-5.787763956029181,-10.888542184744049],[-5.494653939190898,-9.74179385374828],[-5.1548500367228085,-8.48650344268004],[-4.7581238510447035,-7.123172098835405],[-4.28471182257282,-5.640070310665919],[-1.4061628470205452,-0.003154225244008621],[-5.738173483550889,-0.013273808989644966],[-5.738173753499444,-0.013273974961990174],[-5.738174633339808,-0.01327451593327527],[-5.738173982253419,-0.013274115615873857],[-5.738172461938866,-0.013273180852676982],[-5.738204916593043,-0.01329313581182981],[-5.738107735520745,-0.013233385283281641],[-5.7380886343786806,-0.013221641864830434],[-1.4060814138652324,-0.003107660088100701],[-4.315039235140892,5.711956742083558],[-4.326192406067769,5.7174429876128805],[-4.32581160573156,5.717256378286026],[-4.32441583845313,5.716567133476584],[-4.325390651956472,5.717050178502986],[-4.325446192687318,5.717076892471748],[-4.325163552183667,5.716959236483795],[-4.315895758450808,5.712343549122858],[-0.05332010730548045,11.480276761620352]
[-6.054674176996965,-11.985989184886602],[-5.81086038172283,-10.981999013279468],[-5.564077482087453,-10.007507579130031],[-5.2750451176781015,-8.921960171816833],[-4.973004897649015,-7.84858926807901],[-4.591593703813749,-6.583609032896423],[-4.293177708890046,-5.6653454753449015],[-3.8702376300686057,-4.475441051397491],[-1.4061488413051668,-0.0031462158896513174],[-5.7382067631663665,-0.013294271209180494],[-5.738207085475759,-0.013294469390058608],[-5.738193629667443,-0.013286195898325396],[-5.738201109087454,-0.013290794711818422],[-5.738100487274521,-0.013228929023321767],[-5.738094633748183,-0.013225330266605308],[-0.04118807166414068,2.8791404180402913],[-4.26823047789363,5.68853000855199],[-4.379440982680613,5.743777251821928],[-4.3244163985542405,5.716587289514964],[-4.326145814245961,5.717443905680479],[-4.32454132365813,5.7166298887524265],[-4.3243863681651735,5.716557300267374],[-4.32593040933636,5.71734259042242],[-0.0411406041922368,2.879227384155851],[-0.05329681343887167,11.480279662158324]
[-5.930761342170198,-11.470154287703611],[-5.719052513036128,-10.614427753902701],[-5.492171540404462,-9.731115234296892],[-5.244729233965834,-8.809851452289612],[-4.842230254570746,-7.4024613261778],[-4.606101549793423,-6.629101393550098],[-4.386176230955796,-5.9441637589778615],[-4.131613571040661,-5.196482483198751],[-3.6916333729055935,-4.016474561754558],[-1.4061594003596896,-0.0031522542012103172],[-1.4061589484571986,-0.003151995773444296],[-5.738098304784779,-0.013227587223935524],[-5.7380921591612895,-0.013223808892760102],[-5.738084636528423,-0.013219184009064982],[-1.406179265201268,-0.0031636145145874342],[-0.04124851997105152,2.879232812197181],[-4.262832800869294,5.686042815889659],[-4.327869108911169,5.718271175118254],[-4.355258786110468,5.731988547177894],[-4.414080918348656,5.760550202742357],[-4.399888531673157,5.7533734986787595],[-4.327459662429976,5.718049229501785],[-4.315407218717489,5.7121017566849135],[-0.05325599603756618,11.480186350694513],[-0.05331524747259842,11.480290213324613]
[-5.603507339409969,-10.159967366993147],[-5.44840280858062,-9.565426109806504],[-5.249584869570956,-8.828420608319565],[-5.024487496979938,-8.024759463789689],[-4.703767499969149,-6.943409082542014],[-4.526205687498597,-6.377107558612553],[-4.34379036211986,-5.8165112554173986],[-4.111030961643843,-5.138215369150137],[-3.822074180322246,-4.352388114956544],[-1.4061642857246646,-0.00315504799781679],[-1.4061707902728968,-0.003158767808813109],[-1.406162464642486,-0.003154006571815617],[-1.4061592072613258,-0.003152143774402494],[-1.4061598268998485,-0.00315249812566173],[-1.4060690105861968,-0.0031005683729418416],[-0.04123831307587237,2.8792277996399323],[-4.317355798227113,5.713064216238499],[-4.315265353946827,5.712068807288229],[-4.316087427631999,5.712464095922252],[-4.316520045042677,5.712675604902637],[-4.3157053490177395,5.712285417861994],[-4.316078075177919,5.712462155145828],[-0.041147300021687476,2.8792227817893608],[-0.053316270942934646,11.480230821233569],[-0.05330848636829799,11.480286327993275]
[-3.918395249745018,-4.605064094707649],[-4.44496141238619,-6.123694390578381],[-4.52714909983099,-6.378803435547453],[-4.472849041100198,-6.210502957241703],[-4.3608974300862124,-5.867716771477847],[-4.24768208598644,-5.531403679478166],[-4.083138739365158,-5.058585979344098],[-3.875837531285467,-4.490678838062092],[-2.0219770451106,-0.7040807861380729],[-1.4061588686907152,-0.0031519501571100343],[-1.4061594728719242,-0.0031522956693077336],[-1.4061561110904368,-0.0031503731820000493],[-1.406152380421182,-0.0031482397565944244],[-1.4061576594150607,-0.0031512586143095235],[-0.04697021794557112,0.0007164419288352108],[-0.041236838181321726,2.8792267183081437],[-4.316345178711869,5.712596099203135],[-4.31507409702719,5.71193093813126],[-4.316282102822633,5.712559149478166],[-4.314693086953099,5.711787771492462],[-4.31711221056976,5.712970115048719],[-0.04123983350818625,2.879228968723703],[-0.053243165735121036,11.480202298532229],[-0.05329902771459023,11.480257372055167],[-0.053305703167346,11.480284781736009]
[-0.02432926563267343,-10.729358198916394],[-0.024947269722564454,-9.64643316383285],[-0.025635086535807785,-8.541354115125593],[-0.026358570742656528,-7.388622532487516],[-0.027412203025645367,-6.094582983979968],[-0.02819904861230085,-4.773892851276132],[-0.030483552727191564,-3.1941002652683617],[-1.4061679101824873,-0.0031571207387440007],[-1.4061619720306062,-0.00315372486049067],[-1.4061600465615367,-0.0031526237442625845],[-1.4061558329307242,-0.0031502141133183045],[-1.4061803367778836,-0.0031642273399335894],[-1.4061784739908092,-0.0031631620258945167],[-1.406051603492605,-0.003090615999288466],[-0.04118801752271439,2.8791657659713046],[-0.041234748115660476,2.8792255826955926],[-0.041249911641535936,2.879233606032958],[-4.315298684969357,5.7120413355618975],[-4.3161477142846785,5.712501809730807],[-4.316467340973622,5.712621312674759],[-0.041254852609165484,2.8792360626214673],[-0.041149965170945664,2.8792213715293493],[-0.05325010392306709,11.480196263059543],[-0.05331385438569889,11.48025049308531],[-0.053308472115227705,11.480286122131139]
