[-24.979780360089133,-24.901399531136498],[-25.92588984162775,-23.414774098141095],[-25.39633030306882,-21.889657677793412],[-25.58423724559495,-21.27857040798219],[-26.07074536556117,-20.193562000618716],[-25.588320310633993,-19.210999774614084],[-25.43273390665484,-18.90322948935947],[-24.955701315655574,-17.963382954067345],[-24.52810341588243,-17.141033281043068],[-24.108974763802465,-16.351042411645636],[-23.619694676621968,-15.439796162591419],[-23.019900911337476,-14.360944030371076],[-22.460620352748784,-13.152673853159685],[-22.22576356244504,-11.721599396822779],[-22.177341725496287,-9.963609588113792],[-22.56316983269458,-8.065882985978847],[-23.354675012924673,-6.385917853172483],[-24.24709806111954,-5.080067517002297],[-25.009600259163154,-4.262411899118455],[-25.407591404342092,-3.649542682733804],[-25.405597781748867,-2.9367111498192093],[-24.732631671207177,-1.8970175432986338],[-23.99748519957236,-1.0160293698432348],[-23.455673407030837,-0.47819088950111704],[-23.24001967788162,-0.30251728044475396],[-23.082354950924227,-0.18741154077051336],[-22.975562321253445,-0.08579016705300961],[-22.82071152541129,0.18775435054505032],[-22.465042087223747,0.8245358011221454],[-21.83382678228667,1.7363684359776517],[-21.065884731562512,3.368626508266573],[-20.705077780805127,5.762562294234216],[-20.966334500822875,8.31194027454796],[-21.937150589538312,10.217154072349613],[-23.009552569962757,11.29650230577407],[-23.8039012590268,12.06016599709075],[-24.36915983682,12.148111946815614],[-24.623486982524142,12.250804985167324],[-24.85556281459324,12.304165530719192],[-24.949532547119375,12.282687807196254],[-24.785336856269822,12.225529218697769],[-24.115862816625636,12.401046933410917],[-23.05517466763897,12.822572902746158],[-21.243755231099385,14.891860974684034],[-20.537439752039603,17.734665844189642],[-17.42957294745032,20.83012968047895],[-18.476599095779605,23.20966082549033],[-23.20971640184648,22.74477390885159],[-23.903179502197975,23.729706287104282],[-24.508378807709388,24.44457439285582],[-26.83169323277597,27.36418657515643]
[-24.2623143221856,-24.549431303423102],[-24.151656522983533,-22.95696743102846],[-24.484664188129273,-22.297464717309477],[-24.712866077230597,-21.173252298167682],[-24.629435973886682,-19.85201661507768],[-25.056641901009726,-18.87789921397353],[-25.027802329988198,-18.10890464968739],[-24.75807798287886,-17.583825709680823],[-24.33602869634301,-16.775223451676972],[-23.93508032942996,-16.01531528981288],[-23.487629141898136,-15.193495004253272],[-22.988977230483073,-14.289538090152053],[-22.47538090754382,-13.3782845045494],[-21.87244056097449,-12.296928907653635],[-21.533444686848604,-10.976391914359018],[-21.361631004456516,-9.366955957413479],[-21.451841910106822,-7.569361589951487],[-22.009856983322752,-5.798953223979629],[-22.838019170362976,-4.271886167248012],[-23.680487845503485,-3.198859010307968],[-24.207675375502035,-2.5440005523556746],[-24.360530927225458,-1.8517760952329907],[-24.010106125863285,-1.0637014552837967],[-23.254307073059937,-0.31313220775188233],[-22.84829982465472,-0.032548978963066605],[-22.847933866537492,-0.03138763673251354],[-22.858192480971738,-0.030113524180020296],[-22.609116769604025,0.09641069901117891],[-21.981129683050842,0.816372565382355],[-21.187422910221127,1.7940442079241041],[-20.254529369849834,3.4427093030701172],[-19.86320459409815,5.900808582273633],[-20.192316774651278,8.424403360503382],[-21.213094748971724,10.190245657370319],[-22.215924299043245,11.22138266141403],[-22.967938823017434,11.853061592039785],[-23.503275320755925,11.948479826628413],[-23.750267311334444,12.006180684828363],[-23.865761698146965,12.066374425399408],[-23.928023845554787,12.046093674386084],[-23.66947680652217,12.112361816688587],[-22.848514347834882,12.435143546640143],[-21.629520016782774,13.141978939041088],[-19.232681403434523,15.093582633169131],[-17.66745987359061,16.575933516047126],[-17.882055600158058,20.329075920165174],[-18.434371703669775,22.648121579148793],[-21.79496668565753,22.584526296512557],[-22.79376197721693,23.940629110709878],[-22.97880619566414,25.069242150032117],[-23.694420013856462,26.016284504562414]
[-23.076865583105747,-24.332259433045547],[-22.749656018797484,-23.345259188110973],[-24.560832238229427,-21.691614380532286],[-23.021568259281256,-20.69260461800278],[-23.613082953149586,-19.38137550435766],[-23.51927088150108,-17.8141185901341],[-24.53477332666819,-17.224427400906087],[-24.38602966020159,-16.848895004231366],[-24.00438881599192,-16.138949240835917],[-23.639478684610303,-15.472335732258154],[-23.2877668247941,-14.821231358329001],[-22.843593806143414,-14.02869265190514],[-22.396672091591647,-13.232237009150492],[-21.88160711422678,-12.352992300267552],[-21.319262763847515,-11.363046053944634],[-20.762084493554624,-10.240162916517017],[-20.529703296650798,-8.733332621331778],[-20.416684644078316,-7.019291587587083],[-20.75155279962985,-5.180937695918079],[-21.499172639455224,-3.509006499589453],[-22.38968617905038,-2.225856347884624],[-23.0645996909323,-1.4801874418954473],[-23.390233863868634,-0.8180199858039666],[-23.038960130156145,-0.1572148752588725],[-22.850962172974242,-0.03149129765892078],[-22.846254214539417,-0.03319197151044609],[-22.833238517189745,-0.03458347691845218],[-22.527232945449008,0.152284191414717],[-21.41798553564859,0.8400599119743024],[-20.469871464331145,1.8703881846287524],[-19.406874850896614,3.5248155151005593],[-18.978488861682948,6.03131486397587],[-19.37501363913462,8.536559477427156],[-20.463206308365894,10.138621635723077],[-21.400444452691474,11.159888919733566],[-22.152459655003497,11.629320736987028],[-22.647848785975455,11.749153827393695],[-22.896146330715485,11.80746640824144],[-23.02151647597602,11.858178410539987],[-22.92833454522122,11.805406688685194],[-22.42425736573451,11.957369996043436],[-21.507779775554283,12.466754716613645],[-20.074410606147275,13.089764755428329],[-18.55529381166805,15.666367457534307],[-17.312613496112462,18.26628415657464],[-17.316087420881306,20.868637948783984],[-18.170625740731335,23.29695151854701],[-18.867255446478893,23.72968171906893],[-21.351838431476992,23.987517023577407],[-21.908843307424263,24.86888392570918],[-22.860427475303897,25.651074121620812]
[-22.03733219958301,-24.39789315174615],[-21.770733345764597,-23.035192917228677],[-22.20416398265623,-21.47561286818216],[-21.869298361255485,-20.48519743769711],[-21.72937614618492,-19.281873766605386],[-22.049250840839075,-17.217904382543914],[-22.394824960667986,-16.55514767337809],[-23.45874455736462,-15.94096806011634],[-23.441146305148447,-15.169176568386334],[-23.217044271068886,-14.706999659807753],[-22.929330372301504,-14.174854310981388],[-22.578383498333693,-13.5514769812285],[-22.181474913127406,-12.864341645427647],[-21.749452133036584,-12.119226708252388],[-21.261256907023846,-11.301177189458663],[-20.707595557089693,-10.407484357848377],[-20.08448955491821,-9.378865490606067],[-19.71633137776805,-8.028020702418194],[-19.49730828173548,-6.4102246747273455],[-19.60540586615751,-4.556367756678217],[-20.24775869659405,-2.743739957243023],[-21.179677789370288,-1.3399511850886083],[-21.98747578983496,-0.5484180930484279],[-22.53997851819518,0.0536216804960398],[-22.823960076712297,-0.038523611958214146],[-22.84331216016085,-0.03398804099688949],[-22.843694105809334,-0.024489698732767042],[-22.540533279369292,0.14237218166292792],[-20.730639403272207,0.9285777229434906],[-19.66901577917902,1.9991637191257827],[-18.531399002956988,3.6240311221111554],[-18.126014148112738,6.152491854893915],[-18.612609357890484,8.601454503083039],[-19.684459665912318,10.093980568820971],[-20.57647877797136,11.07149430701203],[-21.318459024322024,11.426802958263252],[-21.793414968219892,11.551380904403471],[-22.028570125703244,11.603542740671069],[-22.066275609702362,11.609253835107012],[-21.857330688083838,11.530499737106602],[-21.201149425442477,11.953127377566503],[-20.11060825592377,12.40102688737625],[-18.629676051273464,13.629363849045815],[-16.91208748484951,16.075904308419155],[-16.890950956938543,18.857125434885102],[-17.101311629629418,20.964125584109784],[-17.845262646630378,22.78107524080908],[-19.301105431029388,24.032162051704386],[-20.12128760361212,24.28313076306529],[-21.24552732838666,24.91958567886336],[-22.011355016250267,25.270464009187478]
[-20.028164333287805,-24.626391879716145],[-20.399544311320476,-23.56117546854231],[-20.59030282064536,-21.49271385442425],[-19.708466364354855,-19.41158183530061],[-18.731675790303854,-17.451721282235056],[-18.864812910767284,-17.01778227692591],[-20.485185296095135,-14.67659405852878],[-21.2302638147547,-14.801788122279367],[-21.944606569858358,-14.086458917974428],[-22.2834010563867,-13.733781722194044],[-22.401284884977766,-13.206781053862706],[-22.137402012724984,-12.762094550297878],[-21.818447559300985,-12.236453661102937],[-21.463712297186607,-11.63859689294504],[-21.061222768255067,-10.97372930001104],[-20.5989898959492,-10.217857382945407],[-20.071441072962585,-9.382553935681225],[-19.44458258013219,-8.437659601591262],[-18.848633996426248,-7.281862824254188],[-18.608428252500655,-5.711760620023398],[-18.553961587438764,-3.8735928900386645],[-19.11218573289398,-1.971476609187641],[-20.081469297937456,-0.5228115740325132],[-20.9650924789813,0.27775633046574666],[-22.321908832606127,0.2513478931948133],[-22.836440547058643,-0.009524659598015628],[-22.845461421806093,-0.027158036288994065],[-22.58017530693889,0.12504309408151457],[-14.482734445661482,2.8157799554864287],[-18.736507362937,2.139991942293641],[-17.590588697716896,3.750966154792914],[-17.22738307348333,6.299209300992692],[-17.803155616569963,8.683013262421799],[-18.894616434443765,10.05144648373073],[-19.735102219623453,11.02029448060892],[-20.473284890108083,11.218295232453194],[-20.924318787230785,11.33723411067549],[-21.112256528822453,11.383299750903555],[-21.066235825928004,11.368187955260764],[-20.699905181185798,11.420367413202957],[-19.926065782571957,11.890768384897909],[-18.79290533498915,12.620769334780109],[-17.321800733515488,14.17888705917972],[-16.09052255364853,16.801985652726653],[-16.223177041704822,19.36066080084767],[-16.890466071648934,21.468793093849925],[-18.040407373445813,22.96261942356002],[-18.96878781070396,23.839648531921853],[-20.065965029263594,24.371731882468055],[-20.53367039765648,24.59164279421464],[-21.17970341513584,24.89044289539687]
[-19.719232731617765,-24.754464405180673],[-18.652450780123967,-23.30044466977266],[-18.234870077342528,-22.385212773488085],[-18.382346414813902,-21.36008357654884],[-16.806617825019526,-17.36622038305654],[-16.460108391843267,-16.93753014508443],[-16.618809688067167,-16.19113368269105],[-18.530952294289136,-14.942003354411943],[-19.303019986493624,-13.559039296978172],[-20.268098621661643,-12.971302149339035],[-20.76634104205691,-12.423258651632324],[-21.113674354496283,-11.894241954408045],[-21.29952099756014,-11.30212783546677],[-21.01018571890484,-10.897972120440746],[-20.700147811661605,-10.379493698246934],[-20.33082397089736,-9.78995873045266],[-19.88905671847512,-9.11208790905874],[-19.36271031191737,-8.309509673150277],[-18.730839141978844,-7.397313047862434],[-17.99546415707934,-6.402125200265828],[-17.718176861166093,-4.921866564954064],[-17.59729672051717,-3.1019556379470465],[-18.111326916243108,-1.1752003755237699],[-19.060641328042465,0.2060515241987037],[-19.848733736308883,1.085012494973727],[-21.028383271270567,0.8294930015174953],[-13.93535889140888,0.6217706867364068],[-13.650013620849204,0.6774795595180213],[-17.188488861371738,1.6236139047343308],[-17.57677675227505,2.231860889517912],[-16.573916621200198,3.906926943393302],[-16.3548516362565,6.463391226956945],[-17.045514654314182,8.714043189902343],[-18.09723785400544,9.997407913215923],[-18.92387560708818,10.804584510778009],[-19.602896221131637,10.997273833554466],[-20.033182764105966,11.107154424084218],[-20.140280704682894,11.142113614555758],[-20.011273481274447,11.114684560994244],[-19.531472810069715,11.321037629961799],[-18.65536365324065,11.773032368845895],[-17.394264356923212,12.803097765718935],[-16.005622482703508,14.712424979760893],[-15.224030275764836,17.4184237235978],[-15.58692522667804,19.94659833198107],[-16.554321119434896,21.746153916615015],[-17.514827447720485,23.110908244959646],[-18.408353619335838,23.577223923553067],[-19.08624165664434,23.902781288114753],[-19.805350495404802,24.250694220572132],[-20.23174202169246,24.451584459489943]
[-18.080494517007484,-24.87021610579574],[-17.71399912344416,-24.219057074318776],[-17.528385624098085,-22.659002083277827],[-16.873708862854432,-22.089681192270337],[-16.38407695430991,-20.346713063754333],[-15.844047919230809,-19.349156540676272],[-15.771184697999654,-17.85423702905634],[-16.207409626288293,-16.13156298734775],[-16.89579482453543,-14.542557770998565],[-17.531822836320874,-13.283142636756292],[-18.370706045332955,-12.128776280408944],[-19.121045114284602,-11.233059926625668],[-19.664143391476017,-10.626809271775596],[-20.013397157741853,-10.03338839412932],[-20.120767332067093,-9.504239386110996],[-19.867326200652283,-9.079815927962997],[-19.52485309414488,-8.554955246176611],[-19.091189838257538,-7.9018501815420965],[-18.52909107926202,-7.068437199019325],[-17.860598863801048,-6.086418763874337],[-17.120180432647565,-5.219320970115342],[-16.816379074840235,-4.024811595410403],[-16.71087476379146,-2.224640474406685],[-17.16704641367877,-0.3552474075137478],[-17.939006099182997,0.8808719534540443],[-15.951761230105364,1.525830106940557],[-13.897650168269932,0.939651989751194],[-14.366496495764915,1.1269637348122887],[-15.898231368098392,1.5545122994507914],[-16.16017064524491,2.2831743496520525],[-15.548267799507515,4.121482699730907],[-15.485444303092084,6.651914292791589],[-16.27548994354084,8.75448484037672],[-17.28632244157234,9.953783520280735],[-18.08683052948314,10.597814523181434],[-18.699628700439234,10.76530079631102],[-19.053925808388104,10.857396480006514],[-19.122768282651794,10.873567764029554],[-18.918111251563047,10.849476774102394],[-18.334773797413956,11.220672202202705],[-17.33466907638079,11.753152467734585],[-15.981048702624658,13.093383936795087],[-15.11592435659462,15.467970387522561],[-14.399563949004385,18.060963689974688],[-15.060661552416029,20.4052165838471],[-15.999618321444524,22.01401414250283],[-17.05722611481312,22.895570575956775],[-18.026479219784967,23.396228482135218],[-18.59512421309604,23.67338923753115],[-19.02641993794736,23.880364701893633],[-19.43145844915364,24.076780693831065]
[-17.738519560443763,-25.04280931297413],[-17.428334695027665,-24.086142421117977],[-17.030194398157608,-22.875574563571657],[-16.808065466922436,-22.203019987821463],[-16.364877597561854,-20.942911643182285],[-16.01256973866385,-19.90217076537821],[-15.660853191277104,-18.91119093502443],[-15.228089194359063,-17.505260006333224],[-15.413710253297937,-16.05161588338552],[-15.380070044585576,-14.499805676466531],[-15.903123762495072,-12.933096499103504],[-16.60170230115393,-11.483414277238571],[-17.40800771014297,-10.311712484686888],[-18.133161954242254,-9.38243639639771],[-18.66254499271979,-8.766420740175649],[-19.021945604765556,-8.161893689877186],[-18.956513748420416,-7.715291937214684],[-18.621324958774206,-7.204060373228046],[-18.08689229215612,-6.410283864534096],[-17.17836384442795,-5.202193711158318],[-16.317976832330956,-4.112489502816304],[-15.86626711165139,-3.547020186900108],[-15.890912517918943,-3.00896663288339],[-15.832747170763934,-1.2883139005267654],[-16.100808495596876,0.37309879515737243],[-15.724216522439628,1.3074894238522443],[-13.926004141037804,0.9085226056584249],[-13.781330164622073,0.8483291504527752],[-14.625309930071078,1.419781184842819],[-14.867225523651289,2.3917627585117716],[-14.530561637072303,4.37444315415596],[-14.62317949481471,6.865216757789585],[-15.529538772434327,8.759407788924944],[-16.47432006945323,9.892247123393558],[-17.223733222802213,10.35941184779052],[-17.744724833348325,10.517176632646668],[-18.03448981171549,10.59349052301693],[-18.07635424934191,10.592869573169473],[-17.812963223970808,10.58184177441087],[-17.08076441235001,11.112260778789684],[-15.931698653905766,11.8116659510908],[-14.657862105180602,13.581890543411562],[-13.86294532029225,16.067631401208992],[-13.840656934604533,18.71291351439059],[-14.699213273805267,20.59036059278307],[-15.626925312613583,21.941077479078146],[-16.521392715553056,22.646073018518607],[-17.251730916397346,23.015350151801833],[-17.818444503798144,23.29497368872087],[-18.17136911543665,23.466656891765695],[-18.16869328672793,23.466251025635255]
[-17.64894931101363,-24.76329778279295],[-17.327870785082375,-23.77382834750076],[-17.054022163267494,-22.943771888056478],[-16.782839226118824,-22.13469673718033],[-16.436310684878286,-21.121273552734316],[-16.075952000637542,-20.094954359868943],[-15.718428507264585,-19.089216832082393],[-15.335168900828831,-18.070521294457272],[-14.945618372838226,-16.93138262142485],[-14.702223927469399,-15.660232293601144],[-14.670719491459181,-14.245193177931696],[-14.727767682633162,-12.720973781594767],[-15.002243322969012,-11.115347432488539],[-15.674631181270124,-9.678155637423814],[-16.44374661003208,-8.455795628526412],[-17.179765441751673,-7.574703400656212],[-17.698534025756,-6.933654469464605],[-17.958296622405026,-6.240729598546993],[-17.467293585261498,-5.700588847076539],[-16.513397387509478,-4.394096699281069],[-14.780528803329519,-2.1751171064460624],[-14.772160814358145,-2.164356699628062],[-14.966086459246982,-2.41339779107831],[-14.95576492173157,-1.9168781707967366],[-14.911590818665477,-0.45966756096479106],[-14.544176151054915,0.6096546599719596],[-13.627936540141299,0.6201187100047186],[-13.408363890662187,0.645567400911376],[-13.72000196476371,1.2808356474757236],[-13.734302283059458,2.513516121650748],[-13.520386028290014,4.645497423925497],[-13.817113228972893,7.0650302299297225],[-14.788999299028356,8.746305747552656],[-15.646208933793126,9.851862827667883],[-16.33861233767509,10.105858999427847],[-16.734166563153508,10.220603633132198],[-16.999747214548712,10.31835528371396],[-17.0150092402297,10.296731332571117],[-16.630920694238235,10.478419320184932],[-15.78755527269684,11.03637901873751],[-14.547588184364793,12.079550070881243],[-13.40714711540628,14.122502622855459],[-12.88180090709174,16.74338638867616],[-13.30826393173103,19.049836414266025],[-14.191605211142614,20.73110054755979],[-15.012415727241448,21.891369038752405],[-15.867629570037572,22.306192702611064],[-16.574998966541354,22.67589337926201],[-17.03675671883614,22.90757935992824],[-17.294596309632063,23.03613423333029],[-17.36201148468331,23.079055302606733]
[-17.04165665384451,-24.850386067379972],[-17.012594490352434,-22.872320219162773],[-16.88089745402584,-22.43070289646423],[-16.627675391825818,-21.67863167630455],[-16.35175341637393,-20.875434716072828],[-16.035955493473683,-19.975064162391842],[-15.708738887102843,-19.059082705621414],[-15.36531857288683,-18.116224723548967],[-15.006212302735673,-17.154588286889616],[-14.61012925559541,-16.141135412992536],[-14.159461325841411,-15.045861115912341],[-13.867517677959505,-13.813682857595548],[-13.7976532319556,-12.396135569903189],[-13.83263188338869,-10.868990077399616],[-14.13254863375985,-9.259424869517627],[-14.779671767408582,-7.7803477031397055],[-15.574694476546751,-6.578944229754022],[-16.27290287515143,-5.782165387537639],[-16.7510851900729,-5.079409749058118],[-16.222867354293093,-3.994237215388962],[-14.924137371941876,-2.3595857372832216],[-14.22424376205623,-1.4613725618874338],[-14.162110083930369,-1.3826945098234162],[-14.162807478693555,-1.3810326569356364],[-13.99778314395018,-0.9259404209240314],[-13.848013380853185,-0.0598449675600922],[-13.323138093182347,0.252800991314197],[-13.109339960209882,0.5057224009942201],[-13.03824966321064,1.2172863967915288],[-12.787508010271178,2.6766422473840388],[-12.575079175583324,4.918842509133217],[-13.028617312042025,7.254253861871368],[-14.026869610457354,8.7509327347247],[-14.837528778371201,9.654089466331932],[-15.352009211942073,9.816877287507937],[-15.746091582551172,9.933817951397462],[-15.990071125608369,10.00395482456276],[-15.949448997357008,9.992651028184136],[-15.416636623020251,10.372608940416576],[-14.431053889400639,11.001126854872137],[-13.141969006005525,12.438422853095012],[-12.216404995146574,14.759799564585318],[-12.08244396372996,17.32121509240748],[-12.74939658158166,19.376021395011684],[-13.666593885054393,20.7548900315887],[-14.49178752832279,21.613826933519274],[-15.281805784556513,22.009895770035154],[-15.833746312612702,22.299133557576752],[-16.2059628469769,22.487201216207318],[-16.372560085426898,22.578939388516353],[-17.436702516386468,23.107243953843916]
[-15.560642114900718,-23.61577035370452],[-16.446811556211895,-22.170125952079218],[-16.43530665297396,-21.103913838307037],[-16.406384754843746,-21.00308758654939],[-16.156816241500586,-20.31380376037889],[-15.854423655460334,-19.458496117786797],[-15.578733871831338,-18.70280496309836],[-15.279118415365746,-17.885422098259394],[-14.953532788172613,-17.017051980276797],[-14.60737798318424,-16.11499380056199],[-14.232743485944049,-15.16420281424906],[-13.828846017950168,-14.165810324879818],[-13.388354158895822,-13.102746322708814],[-12.940080208017005,-11.931341658332308],[-12.856025701052246,-10.49968793351238],[-12.904972276351447,-8.932301248001762],[-13.274435475151048,-7.300479369495921],[-13.968468980316896,-5.833318520046814],[-14.772657007351695,-4.710029536083188],[-15.381523912130614,-3.944014648117807],[-15.467525233724906,-3.068354541898782],[-14.541630734329573,-1.8677552844972543],[-13.886704300561052,-1.0417848386926114],[-13.503530377893686,-0.6081847517623816],[-13.237217434282387,-0.3537682073838727],[-13.063903241174335,-0.21285918590180186],[-12.915375163335641,-0.10516458511515103],[-12.766955757495472,0.3596031522799087],[-12.42449363399746,1.2053164974796102],[-11.869219413019811,2.8044839473115504],[-11.67579747552621,5.172495620854532],[-12.285306121582892,7.390511154763754],[-13.263548597693436,8.73955024539963],[-14.033872085995217,9.422241372706742],[-14.511324255915481,9.608497314984298],[-14.796695977791622,9.693774407789345],[-14.986952501524177,9.751420812269107],[-14.872503381320787,9.694821427055137],[-14.154266979190858,10.26474989212459],[-13.016458333706526,11.089143469515959],[-11.807989797479662,12.933519231334174],[-11.154604189145045,15.41733214391965],[-11.410018467312058,17.827635302083042],[-12.207585444179985,19.551853405833917],[-13.04608421801392,20.712054014417873],[-13.902875980620088,21.286855350414797],[-14.565216370302817,21.639386008456132],[-15.050658073673484,21.89301322014835],[-15.360230843480688,22.05446428914854],[-15.527404214637855,22.14426007734101],[-15.424993519772602,22.103638090551208]
